,Meta Data,Time Series (30min)
1. Information,"Intraday (30min) open, high, low, close prices and volume",
2. Symbol,ANET,
3. Last Refreshed,2025-02-28 19:30:00,
4. Interval,30min,
5. Output Size,Compact,
6. Time Zone,US/Eastern,
2025-02-26 07:00:00,,"{'1. open': '95.1900', '2. high': '95.8000', '3. low': '95.1000', '4. close': '95.6200', '5. volume': '8349'}"
2025-02-26 06:30:00,,"{'1. open': '95.4900', '2. high': '95.7500', '3. low': '95.1000', '4. close': '95.4600', '5. volume': '8680'}"
2025-02-26 06:00:00,,"{'1. open': '95.3900', '2. high': '95.5600', '3. low': '95.3100', '4. close': '95.4800', '5. volume': '1840'}"
2025-02-26 05:30:00,,"{'1. open': '95.2700', '2. high': '95.3800', '3. low': '95.2000', '4. close': '95.3700', '5. volume': '2137'}"
2025-02-26 05:00:00,,"{'1. open': '95.1200', '2. high': '95.3400', '3. low': '95.0000', '4. close': '95.2600', '5. volume': '3724'}"
2025-02-26 04:30:00,,"{'1. open': '95.3900', '2. high': '95.5900', '3. low': '94.7800', '4. close': '95.0600', '5. volume': '28873'}"
2025-02-26 04:00:00,,"{'1. open': '94.9900', '2. high': '95.8800', '3. low': '94.9000', '4. close': '95.5000', '5. volume': '5396'}"
2025-02-25 19:30:00,,"{'1. open': '93.7000', '2. high': '94.7500', '3. low': '93.5600', '4. close': '94.5000', '5. volume': '9014'}"
2025-02-25 19:00:00,,"{'1. open': '92.8800', '2. high': '93.9500', '3. low': '92.8800', '4. close': '93.7300', '5. volume': '1039255'}"
2025-02-25 18:30:00,,"{'1. open': '92.8800', '2. high': '93.9500', '3. low': '92.8800', '4. close': '93.7600', '5. volume': '1037607'}"
2025-02-25 18:00:00,,"{'1. open': '93.3000', '2. high': '93.7500', '3. low': '93.3000', '4. close': '93.4800', '5. volume': '1638'}"
